Original Text,Extracted Laws
"1. 범죄사실에 대한 해당법조
가. 피고인 장찬효 : 교통사고처리 특례법 제3조 제1항, 제2항 단서 제2호, 형법 제
268조(교통사고로 인한 업무상과실치상의 점 및 업무상과실치사의 점), 구 도로교
통법(2014. 12. 30. 법률 제12917호로 일부 개정되기 전의 것. 이하 같다) 제156
조 제1호, 제39조 제1항(적재중량 초과 상태 운전의 점)
나. 피고인 A : 구 도로교통법 제159조, 제156조 제1호, 제39조 제1항(법인 업무에 관
한 사용인의 적재중량 초과 상태 운전의 점)
1. 상상적 경합 : 형법 제40조, 제50조
1. 형의 선택 : 교통사고처리특례법위반죄에 대하여는 금고형 선택, 도로교통법위반죄
에 대하여는 벌금형 선택
1. 경합범 가중(피고인 장○○) : 형법 제37조 전단, 제38조 제1항 제3호, 제50조
1. 노역장 유치(피고인 장○○) : 형법 제70조, 제69조 제2항
1. 가납명령(피고인들) : 형사소송법 제334조 제1항","도로교통법 159조, 특례법 3조 제1항, 형법 37조, 형법 40조, 형법 70조, 형사소송법 334조 제1항"
"1. 범죄사실에 대한 해당법조
『2014고단425』
각 특정범죄 가중처벌 등에 관한 법률 제5조의4 제5항, 제1항, 형법 제329조(각 절도의 점), 도로교통법 제152조 제1호, 제43조(무면허 운전의 점)
『2014고단603』
교통사고처리 특례법 제3조 제1항, 제2항 단서 제7호, 형법 제268조(업무상 과실치상의 점), 도로교통법 제154조 제2호, 제43조(원동기장치자전거 무면허 운전의 점)
『2014고단1296』
특정범죄 가중처벌 등에 관한 법률 제5조의3 제1항 제2호, 형법 제268조(치상 후 도주의 점), 도로교통법 제148조, 제54조 제1항(사고 후 미조치의 점), 도로교통법 제152조 제1항, 제43조(무면허 운전의 점), 도로교통법 제151조(업무상 과실 재물손괴의 점)
1. 상상적 경합
형법 제40조, 제50조[특정범죄가중처벌등에관한법률위반(도주차량)죄와 도로교통법위반(사고후미조치)죄 상호간]
1. 형의 선택
각 특정범죄가중처벌등에관한법률위반(절도)죄 : 각 징역형 선택
각 도로교통법위반(무면허운전) : 각 징역형 선택
교통사고처리특례법위반죄 : 금고형 선택
원동기장치 자전거 운전으로 인한 도로교통법위반죄 : 벌금형 선택
특정범죄가중처벌등에관한법률위반(도주차량)죄 : 유기징역형 선택
도로교통법위반죄 : 금고형 선택
1. 누범가중
형법 제35조, 제42조 단서
1. 경합범가중
형법 제37조 전단, 제38조 제1항 제2호, 제3호, 제2항, 제50조, 제42조 단서
1. 노역장 유치
형법 제70조, 제69조 제2항","도로교통법 148조, 도로교통법 151조, 도로교통법 152조 제1항, 도로교통법 152조 제1호, 도로교통법 154조 제2호, 특례법 3조 제1항, 형법 268조, 형법 329조, 형법 35조, 형법 37조, 형법 40조, 형법 70조"
"1. 범죄사실에 대한 해당법조
특정범죄가중처벌 등에 관한 법률 제5조의3 제1항 제2호, 형법 제268조(업무상 과실치상 후 도주의 점), 도로교통법 제148조, 제54조 제1항(사고 후 미조치의 점), 현법 제151조(과실 재물손괴의 점), 도로교통법 제152조 제1호, 제43조(무면허운전의 점)
1. 상상적 경합
형법 제40조, 제50조 (징역형 선택)
1. 경합범가중
형법 제37조 전단, 제38조 제1항 제2호, 제50조
1. 작량감경
형법 제53조, 제55조 제1항 제3호 (아래에서 보는 정상 참작)","도로교통법 148조, 도로교통법 152조 제1호, 현법 151조, 형법 268조, 형법 37조, 형법 40조, 형법 53조"
"1. 범죄사실에 대한 해당법조
교통사고처리특례법  제3조 제1항, 제2항 단서 제1호, 제7호, 형법  제268조(업무상과실치상의 점), 도로교통법 제151조(업무상 과실 재물손괴의 점), 자동차손해배상보장법 제46조 제2항 제2호, 제8조(의무보험 미가입의 점)
1. 상상적 경합
형법  제40조, 제50조 [교통사고처리특례법위반죄와 도로교통법위반죄 상호간 형이 더 중한 교통사고처리특례법위반죄에 정한 형으로 처벌]
1. 형의 선택
교통사고처리특례법위반죄에 대해서는 금고형, 자동차손해배상보장법위반죄에 대해서는 징역형 각 선택
1. 경합범가중
형법 제37조 전단, 제38조 제1항 제2호, 제2항, 제50조 [형이 더 중한 교통사고처리특례법위반죄에 정한 형에 위 각 죄의 장기형을 합산한 범위 내에서 경합범 가중]","교통사고처리특례법 3조 제1항, 도로교통법 151조, 자동차손해배상보장법 46조 제2항 제2호, 형법 268조, 형법 37조, 형법 40조"
"1. 범죄사실에 대한 해당법조
도로교통법 제148조, 제54조 제1항(사고 후 미조치의 점), 제148조의2 제1항 제1호,    제44조 제1항(음주운전의 점), 제152조 제1호, 제43조(무면허운전의 점)
1. 상상적 경합
형법 제40조, 제50조
1. 형의 선택
징역형 선택(동종 처벌전력 감안)
1. 경합범가중
형법 제37조 전단, 제38조 제1항 제2호, 제50조
1. 작량감경
형법 제53조, 제55조 제1항 제3호(피해 정도 상대적으로 중하지 않은 점 참작)
양 형 이 유
동종 범행으로 인한 집행유예 기간 중 도로교통법위반(음주운전)죄로 벌금형 처벌을 받은 전력이  있는데도 음주, 무면허 운전을 하다가 사고를 내고 필요한 조치를 하지 않았다.","도로교통법 148조, 형법 37조, 형법 40조, 형법 53조"
"1. 범죄사실에 대한 해당법조 및 형의 선택
교통사고처리 특례법 제3조 제1항, 형법 제268조(업무상과실치사의 점, 금고형 선택), 자동차손해배상 보장법 제46조 제2항 제2호, 제8조 본문(의무보험 미가입 차량 운행의 점, 징역형 선택)
1. 경합범가중
형법 제37조 전단, 제38조 제1항 제2호, 제2항, 제50조","보장법 46조 제2항 제2호, 특례법 3조 제1항, 형법 268조, 형법 37조"
"1. 범죄사실에 대한 해당법조와 형의 선택
피고인 ᝈᝈᝈ : 교통사고처리 특례법 제3조 제1항, 형법 제268조(금고형 선택)
피고인 ᝌᝌᝌ, ሶሶሶ : 형법 제268조, 제30조(금고형 선택)
1. 집행유예
피고인들 : 형법 제62조 제1항
1. 사회봉사명령 및 수강명령
피고인들 : 형법 제62조의2","특례법 3조 제1항, 형법 268조, 형법 62조, 형법 62조 제1항"
"1. 범죄사실에 대한 해당법조
특정범죄 가중처벌 등에 관한 법률 제5조의3 제1항 제2호, 형법 제268조(업무상 과실치상 후 도주의 점), 도로교통법 제148조, 제54조 제1항(사고 후 미조치의 점)
1. 상상적 경합
형법 제40조, 제50조
1. 형의 선택
징역형 선택
1. 작량감경
형법 제53조, 제55조 제1항 제3호","도로교통법 148조, 형법 268조, 형법 40조, 형법 53조"
"1. 범죄사실에 대한 해당법조
특정범죄 가중처벌 등에 관한 법률 제5조의3 제1항 제2호, 형법 제268조(업무상 과실치상 후 도주의 점), 도로교통법 제148조, 제54조 제1항(사고 후 미조치의 점)
1. 상상적 경합
형법 제40조, 제50조
1. 형의 선택
벌금형 선택
1. 노역장유치
형법 제70조, 제69조 제2항
1. 가납명령
형사소송법 제334조 제1항","도로교통법 148조, 형법 268조, 형법 40조, 형법 70조, 형사소송법 334조 제1항"
"1. 범죄사실에 대한 해당법조
특정범죄 가중처벌 등에 관한 법률 제5조의3 제1항 제2호, 형법 제268조, 도로교통법 제148조, 제54조 제1항, 형법 제151조 제1항, 제31조 제1항, 도로교통법 제152조 제1호, 제43조
1. 상상적 경합
형법 제40조, 제50조
1. 형의 선택
각 징역형 선택
1. 경합범가중
형법 제37조 전단, 제38조 제1항 제2호, 제50조","도로교통법 148조, 도로교통법 152조 제1호, 형법 151조 제1항, 형법 268조, 형법 37조, 형법 40조"
"1. 범죄사실에 대한 해당법조
특정범죄 가중처벌 등에 관한 법률 제5조의3 제1항 제2호, 형법 제268조, 도로교통법 제148조의2 제2항 제2호, 제44조 제1항, 제148조, 제54조 제1항, 형법 제136조 제1항, 제257조 제1항
1. 상상적 경합
형법 제40조, 제50조
1. 형의 선택
각 벌금형 선택(피해정도가 비교적 경미한 점, 이 사건 모두 주취상태에서 경황이 없는 와중에 일어난 것으로 보이는 점, 초범인 점, 피고인은 경찰공무원으로서 지금까지 성실히 근무하여 왔던 것으로 보이는 점 등 감안)
1. 경합범가중
형법 제37조 전단, 제38조 제1항 제2호, 제50조[다만 하한은 도로교통법위반(음주운전)죄에 정한 그것에 의한다]
1. 노역장유치
형법 제70조 제1항, 제69조 제2항","도로교통법 148조, 형법 136조 제1항, 형법 268조, 형법 37조, 형법 40조, 형법 70조 제1항"
"1. 범죄사실에 대한 해당법조
특정범죄 가중처벌 등에 관한 법률 제5조의3 제1항 제1호, 형법 제268조(업무상과실치사 후 도주의 점), 도로교통법 제148조, 제54조 제1항(재물손괴 후 미조치의 점), 도로교통법 제148조의2 제2항 제3호, 제44조 제1항(음주운전의 점)
1. 상상적 경합
형법 제40조, 제50조
1. 형의 선택
특정범죄가중처벌등에관한법률위반(도주차량)죄에 대하여 유기징역형을, 도로교통법위반(음주운전)죄에 대하여 징역형을 각 선택
1. 경합범가중
형법 제37조 전단, 제38조 제1항 제2호, 제50조","도로교통법 148조, 형법 268조, 형법 37조, 형법 40조"
"1. 범죄사실에 대한 해당법조 및 형의 선택
도로교통법 제148조의2 제2항 제2호, 제44조 제1항(음주운전의 점), 도로교통법 제148조, 제54조 제1항(사고 후 미조치의 점), 각 벌금형 산택
1. 경합범가중
형법 제37조 전단, 제38조 제1항 제2호, 제50조
1. 노역장유치
형법 제70조 제1항, 제69조 제2항
1. 가납명령
형사소송법 제334조 제1항
무죄부분
1. 공소사실의 요지
피고인은 C 아반떼 승용차의 운전업무에 종사되어 사람이다.
피고인은 2014. 7. 16. 00:05경 혈중알콜농도 0.116%의 술에 취한 상태로 위 승용차를 운전하여 제천시 D에  있는 E식당 앞 도로를 현대아파트 후문 쪽에서 두손메디컬병원 쪽으로 우회전하여 진행하게 되었다.
그 때 피고인은 야간이라 날이 어두운 상태에서 진행하게 되었고 우회전을 하여 대로로 진입하게 되었으므로 전방좌우 주시를 철저히 하고 조향장치를 잘 조작하면서 진행하여 사고를 미연에 방지해야 할 업무상의 주의의무가 있었다.
그럼에도 불구하고 피고인은 술에 취하여 전방좌우 주시를 철저히 하지 못한 채 회전반경을 지나치게 크게 하여 우회전한 업무상의 과실로 중앙선을 침범하여 진행하다가 두손메디컬 쪽에서 시립도서관 쪽으로 진행 중이던 피해자 F(54세) 운전의 G 쏘나타 승용차 운전석 쪽 앞범퍼 부분을 피고인 운전 차량의 운전석 쪽 앞범퍼 부분으로 들이받았다.
결국 피고인은 위와 같은 업무상의 과실로 피해자에게 약 3주간의 치료가 필요한 제2경추의  횡돌기  골절  등의  상해를  입게  함과  동시에  위  쏘나타 승용차를  수리비 1,445,431원이 들도록 손괴하고도 곧 정차하여  피해자를 구호하는 등 필요한 조치를 취하지 아니하고 그대로 도주하였다.
2. 판  단
위 공소사실 중 피고인이 중앙선을 침범하여 운전하였다는 점에 부합하는 증거로는 F의 진술과 도로교통공단 충북지부의 교통사고종합분석서가 있다. 그런데 피고인 차량의 블랙박스 동영상에 의하면 명백히 중앙선을 침범한 것을 F의 차량이며, 피고인의 차량이 중앙선을 침범하였는지 여부는 불확실하다. 또한, 도로교통공단의 교통사고종합분석서도 사후에 블랙박스 영상, 충돌부위 등을 기초로 추정한 것일 뿐이어서 위 증거들만으로는 피고인이 중앙선을 침범하여 운전하였다는 사실을 인정하기에 부족하다.
나아가 이 법원이 적법하게 조사한 증거들에 의하여 알 수 있는 다음과 같은 사정들, 즉 ① 피고인은 우회전을 하기 전에 매우 천천히 서행을 한 점, ② 비록 피고인이 진행하였던 도로가 F이 진행하였던 도로보다 좁은 도로이긴 하나, 피고인의 차량이 교차로에 먼저 진입하였을 뿐 아니라, 교차로를 거의 다 빠져나갈 무렵에 이 사건 사고가 발생한 점, ③ 오히려 F의 차량이 상당히 빠른 속도로 진행하면서 중앙선을 침범한 점 등에 비추어 피고인에게 이 사건 사고에 대하여 어떠한 과실이 있음을 인정할 증거가 없으며, 또한 비록 피고인이 음주운전을 한 것은 사실이나 위와 같은 경위에 비추어 볼 때 피고인의 음주와 이 사건 사고의 발생과는 인과관계가 있다고 보기도 어렵다고 할 것이다.
그렇다면, 이 부분 공소사실은 범죄의 증명이 없는 경우에 해당하여 형사소송법 제325조 후단에 의하여 무죄를 선고하여야 할 것이나, 이와 상상적 경합 관계에 있는 판시 도로교통법위반(사고후미조치)죄를 유죄로 인정한 이상 주문에서 따로 무죄를 선고하지 아니한다.","도로교통법 148조, 형법 37조, 형법 70조 제1항, 형사소송법 325조, 형사소송법 334조 제1항"
"1. 범죄사실에 대한 해당법조
가. 피고인 A : 각 특정범죄 가중처벌 등에 관한 법률 제5조의3 제1항 제2호, 형법 제268조(업무상  과실치상  후  도주의  점),  도로교통법  제148조,  제54조  제1항(사고  후 미조치의 점)
나. 피고인 B : 도로교통법 제148조, 제54조 제1항, 형법 제31조 제1항(사고 후 미조치 교사의 점)
1. 상상적 경합
피고인 A : 형법 제40조, 제50조
1. 형의 선택
피고인들 : 각 징역형 선택
1. 집행유예
피고인들 : 각 형법 제62조 제1항
1. 사회봉사, 수강명령
피고인들 : 각 형법 제62조의2","도로교통법 148조, 형법 268조, 형법 31조 제1항, 형법 40조, 형법 62조, 형법 62조 제1항"
"1. 범죄사실에 대한 해당법조
각 특정범죄 가중처벌 등에 관한 법률 제5조의3 제1항 제2호, 형법 제268조(각 업무상과실치상 후 도주의 점), 도로교통법 제148조의2 제1항 제1호, 제44조 제1항(음주운전의 점), 제152조 제1호, 제43조(무면허운전의 점), 제151조(업무상과실손괴의 점), 제148조, 제54조 제1항(손괴 후 미조치의 점), 자동차손해배상보장법 제46조 제2항 제2호, 제8조(의무보험미가입차량운행의 점)
1. 상상적 경합
형법 제40조, 제50조(각 특정범죄 가중처벌 등에 관한 법률위반죄와 손괴 후 미조치로 인한 도로교통법위반죄 상호간 및 음주운전으로 인한 도로교통법위반죄와 무면허운전으로 인한 도로교통법위반죄 상호간)
1. 형의 선택
특정범죄 가중처벌 등에 관한 법률위반죄, 음주운전으로 인한 도로교통법위반죄 및 자동차손해배상보장법위반죄에 대하여 각 징역형을, 업무상과실손괴로 인한 도로교통법위반죄에 대하여 금고형을 각 선택
1. 경합범가중
형법 제37조 전단, 제38조 제1항 제2호, 제2항, 제50조","도로교통법 148조, 자동차손해배상보장법 46조 제2항 제2호, 형법 268조, 형법 37조, 형법 40조"
"1. 범죄사실에 대한 해당법조 및 형의 선택
폭력행위등 처벌에 관한 법률 제3조 제1항, 제2조 제1항 제3호, 형법 제257조 제1항(흉기 휴대 상해의 점), 도로교통법 제148조, 제54조 제1항(손괴후 미조치의 점, 징역형 선택)
1. 경합범가중
형법 제37조 전단, 제38조 제1항 제2호, 제50조
1. 작량감경
형법 제53조, 제55조 제1항 제3호
1. 집행유예
형법 제62조 제1항
1. 사회봉사명령
형법 제62조의2","도로교통법 148조, 형법 257조 제1항, 형법 37조, 형법 53조, 형법 62조, 형법 62조 제1항"
"1. 범죄사실에 대한 해당법조
각 특정범죄 가중처벌 등에 관한 법률 제5조의3 제1항 제2호, 형법 제268조(치상후 도주의 점), 도로교통법 제148조, 제54조 제1항(손괴후 미조치의 점), 형법 제151조 제1항, 제31조 제1항(범인도피 교사의 점)
1. 상상적 경합
형법 제40조, 제50조(각 특정범죄가중처벌등에관한법률위반죄 및 도로교통법위반죄 상호간, 형 및 범정이 가장 무거운 B에 대한 특정범죄가중처벌등에관한법률위반죄에 정한 형으로 처벌)
1. 형의 선택
각 징역형 선택
1. 경합범가중
형법 제37조 전단, 제38조 제1항 제2호, 제50조, 제42조 단서[형이 더 무거운 특정범죄가중처벌등에관한법률위반죄에 정한 형에 경합범가중(위 죄와 범인도피교사죄의 장기형을 합산한 범위 내에서)]
1. 작량감경
형법 제53조, 제55조 제1항 제3호
1. 집행유예
형법 제62조 제1항
1. 보호관찰 및 사회봉사명령, 수강명령
형법 제62조의2 제1항 단서, 제2항
양형이유
〇  음주운전으로 적발된 전력이 2회나 있음에도 다시 음주운전을 하다 단속을 피하고자 후진하던 중 사고를 내고 도주한 후 친언니의 허위자백까지 교사하였다가 발각되는 등 죄질과 정상이 무거워 상당한 기간의 징역형을 선택
〇 다만 교통사고로 인한 각 상해의 정도가 중하지는 않은 점, 2회의 동종전과는 벌금형에 그쳤던 점 등을 참작하여 형의 집행을 유예
〇  피해변상이 이루어지지 않았고 재범의 위험성이 있으므로 보호관찰 및 사회봉사명령과 준법운전강의 수강명령을 덧붙임","도로교통법 148조, 형법 151조 제1항, 형법 268조, 형법 37조, 형법 40조, 형법 53조, 형법 62조, 형법 62조 제1항"
"1. 범죄사실에 대한 해당법조
특정범죄 가중처벌 등에 관한 법률 제5조의3 제1항 제2호, 형법 제268조(업무상과    실치상 후 도주의 점), 도로교통법 제148조, 제54조 제1항(사고 후 미조치의 점), 도로교통법  제148조의2 제2항 제2호, 제44조 제1항(음주운전의  점), 도로교통법  제151조(업무상과실재물손괴의 점), 특정범죄 가중처벌 등에 관한 법률 제5조의11(위험운전치상의  점), 자동차손해배상보장법  제46조 제2항 제2호, 제8조(의무보험미가    입차량 운행의 점)
1. 상상적 경합
형법 제40조, 제50조
1. 형의 선택
각 징역형 선택(다만, 업무상과실재물손괴에 의한 도로교통법위반죄에 대하여는 금고형 선택)
1. 경합범가중
형법 제37조 전단, 제38조 제1항 제2호, 제50조","도로교통법 148조, 도로교통법 151조, 자동차손해배상보장법 46조 제2항 제2호, 형법 268조, 형법 37조, 형법 40조"
"1. 범죄사실에 대한 해당법조
특정범죄 가중처벌 등에 관한 법률 제5조의3 제1항 제2호, 형법 제268조(업무상과실치상 후 도주의 점), 구 도로교통법(2011. 6. 8. 법률 제10790호로 개정되기 전의 것) 제148조, 제54조 제1항(사고후미조치의 점), 구 도로교통법 제151조(업무상과실 재물손괴의 점),1) 구 도로교통법 제152조 제1호, 제43조(무면허운전의 점), 구 자동차손해배상 보장법(2012. 2. 22. 법률 제11369호로 개정되기 전의 것) 제46조 제2항, 제8조 본문(의무보험 미가입 차량 운행의 점)
1. 상상적 경합
형법 제40조, 제50조
1. 형의 선택
도로교통법위반죄에 대하여 금고형, 나머지 각 죄에 대하여 각 징역형 선택
1. 경합범가중
형법 제37조 전단, 제38조 제1항 제2호, 제2항, 제50조
1. 작량감경
형법 제53조, 제55조 제1항 제3호","도로교통법 151조, 도로교통법 152조 제1호, 형법 268조, 형법 37조, 형법 40조, 형법 53조"
"1. 범죄사실에 대한 해당법조
가. 피고인 A : 특정범죄 가중처벌 등에 관한 법률 제5조의3 제1항 제2호, 형법 제268조(업무상과실치상 후 미조치의  점), 도로교통법  제148조, 제54조 제1항(업무상과실재물손괴 후 미조치의 점), 형법 제151조 제1항,                    제31조 제1항(범인도피교사의 점), 도로교통법 제148조의2 제1항 제2호, 제44조 제2항(음주측정거부의 점)
나. 피고인 B : 형법 제151조 제1항
1. 상상적 경합
피고인 A : 형법 제40조, 제50조
1. 형의 선택
가. 피고인 A : 각 징역형 선택
나. 피고인 B : 벌금형 선택
1. 경합범가중
피고인 A : 형법 제37조 전단, 제38조 제1항 제2호, 제50조
1. 노역장유치
피고인 B : 형법 제70조 제1항, 제69조 제2항
1. 가납명령
피고인 B : 형사소송법 제334조 제1항","도로교통법 148조, 형법 151조 제1항, 형법 268조, 형법 37조, 형법 40조, 형법 70조 제1항, 형사소송법 334조 제1항"
"1. 범죄사실에 대한 해당법조 및 형의 선택
교통사고처리특례법 제3조 제1항, 제2항 단서 제7호, 형법 제268조(교통사고 치상의 점, 금고형 선택), 도로교통법 제154조 제2호, 제43조(무면허운전의 점, 벌금형 선택),  형법  제231조(사문서위조의  점),  형법  제234조,  제231조(위조사문서행사의 점), 형법 제239조 제1항(사서명위조의 점), 형법 제239조 제2항, 제1항(위조사서명행사의 점), 형법 제230조(공문서 부정행사의 점), 각 징역형 선택
1. 경합범가중
형법 제37조 전단, 제38조 제1항 제2호, 제3호, 제50조
1. 노역장유치
형법 제70조 제1항, 제69조 제2항
1. 가납명령
형사소송법 제334조 제1항","교통사고처리특례법 3조 제1항, 도로교통법 154조 제2호, 형법 230조, 형법 231조, 형법 234조, 형법 239조 제1항, 형법 239조 제2항, 형법 268조, 형법 37조, 형법 70조 제1항, 형사소송법 334조 제1항"
"1. 범죄사실에 대한 해당법조
가. 피고인 □□□
특정범죄 가중처벌 등에 관한 법률 제5조의3 제1항 제2호, 형법 제268조(업무상 과실치상 후 도주의 점), 도로교통법 제148조, 제54조 제1항(물건손괴 후 미조치의 점), 신용정보의 이용 및 보호에 관한 법률 제50조 제2항 제7호, 제40조 제4호, 형법 제30조(사생활 조사를 업으로 한 점), 폭력행위 등 처벌에 관한 법률 제3조 제1항, 제2조 제1항 제3호, 형법 제257조 제1항(위험한 물건 상해의 점)
나. 피고인 ○○○, △△△
각 신용정보의 이용 및 보호에 관한 법률 제50조 제2항 제7호, 제40조 제4호, 형법 제30조
다. 피고인 ◇◇◇
신용정보의 이용 및 보호에 관한 법률 제50조 제2항 제7호, 제40조 제4호, 형법 제31조 제1항
1. 상상적 경합(피고인 □□□)
형법 제40조, 제50조[특정범죄가중처벌등에관한법률위반(도주차량)죄와 도로교통법위반(사고후미조치)죄  상호간,  형이  더  중한  특정범죄가중처벌등에관한법률위반(도주차량)죄에 정한 형으로 처벌]
1. 형의 선택
각 징역형 선택[피고인 □□□의 폭력행위등처벌에관한법률위반(집단·흉기등상해)죄 제외]
1. 경합범 가중(피고인 □□□)
형법 제37조 전단, 제38조 제1항 제2호, 제50조
1. 작량감경(피고인 □□□)
형법 제53조, 제55조 제1항 제3호
1. 집행유예(피고인들)
각 형법 제62조 제1항
1. 사회봉사명령(피고인들)
각 형법 제62조의2 제1항, 보호관찰 등에 관한 법률 제59조
1. 몰수(피고인 □□□, ○○○)
각 형법 제48조 제1항","도로교통법 148조, 형법 257조 제1항, 형법 268조, 형법 30조, 형법 31조 제1항, 형법 37조, 형법 40조, 형법 48조 제1항, 형법 53조, 형법 62조, 형법 62조 제1항"
"1. 범죄사실에 대한 해당법조 및 형의 선택
형법 제347조 제1항(사기의 점), 형법 제352조, 제347조 제1항(사기미수의 점), 각 징역형 선택
1. 경합범가중
형법 제37조 전단, 제38조 제1항 제2호, 제50조
1. 배상신청의 각하
소송촉진 등에 관한 특례법 제32조 제1항, 제26조 제1항","특례법 32조 제1항, 형법 347조 제1항, 형법 352조, 형법 37조"
"1. 범죄사실에 대한 해당법조 및 형의 선택
피고인들: 형법 제151조 제1항, 각 징역형 선택
1. 집행유예
피고인들: 형법 제62조 제1항","형법 151조 제1항, 형법 62조 제1항"
