index,범죄 사실,법령의 적용
399,"피고인은 **호 *** 승용차량을 운전하였다.

피고인은 2014. 11. 15. 01:23경 혈중알콜농도 0.05% 이상의 주취상태로1) 대전 중구 대흥동 **** 주차장에서부터 운전하여 대전 중구 선화동 **** 앞 노상까지 약 200m의 거리를 본인 소유의 위 차량으로 운전하였다.","1. 범죄사실에 대한 해당법조 및 형의 선택

도로교통법 제148조의2 제2항 제3호, 제44조 제1항, 벌금형 선택

1. 노역장유치

형법 제70조, 제69조 제2항

1. 가납명령

형사소송법 제334조 제1항"
400,"피고인은 2013. 7. 22. 울산지방법원에서 도로교통법위반(음주운전)죄로 벌금 200만 원을 선고받고, 2014. 12. 4. 울산지방법원에서 도로교통법위반(음주운전)죄 등으로 징역 8월, 집행유예 2년을 선고받아 2014. 12. 12. 그 판결이 확정되어 현재 집행유예 기간 중인 사람이다.

피고인은 2014. 12. 12. 23:00경 울산 울주군 온산읍 덕신리 B 앞 주차장에서부터 같은 리 C농협 앞 도로에 이르기까지 약 100미터 구간에서 자동차 운전면허를 받지 아니하고 혈중알콜농도 0.158%의 술에 취한 상태로 라세티승용차를 운전하였다.","1. 범죄사실에 대한 해당법조

도로교통법 제148조의2 제1항 제1호, 제44조 제1항(음주운전의 점), 같은 법 제152조 제1호, 제43조(무면허운전의 점)

1. 상상적 경합

형법 제40조, 제50조{형이 더 무거운 도로교통법위반(음주운전)죄에 정한 형으로 처벌}

1. 형의 선택

징역형 선택(동종 범행 반복하고 있고 동종 범행으로 인한 징역형의 집행유예 판결이 확정되자마자 이 사건 범행에 이른 점 등 참작)

1. 작량감경

형법 제53조(자백·반성하는 점, 그밖에 피고인의 가족관계 등 참작)"
401,피고인은 2014. 11. 10. 22:04경 울산 남구 삼산동에 있는 고속버스터미널 앞길에서 같은 구 야음동에 있는 여천고개까지 약 1km의 거리에서 자동차 운전면허를 받지 아니하고 혈중알콜농도 0.068%의 술에 취한 상태로 스파크 승용차를 운전하였다.,"1. 범죄사실에 대한 해당법조

도로교통법 제148조의2 제2항 제3호, 제44조 제1항(음주운전의 점), 도로교통법 제152조 제1호, 제43조(무면허운전의 점)

1. 상상적 경합

형법 제40조, 제50조

1. 형의 선택

징역형 선택"
402,"『2012고단3782』

1. 2011. 3. 5.경 범행

피고인은 2011. 3. 5. 13:00경 I 북구 효문동에 있는 B 편의점 앞에서 피해자 C(30세)에게 “북구청 뒤 D교회 사이에 있는 200평 정도 되는 공장이 매물로 나왔는데 내가 아는 사람이 운영하고 있다, 싸게 나와서 5,000만 원이면 인수할 수 있는데, 일단 내가 인수해서 너한테 넘겨주겠다, 공장을 인수하면 한 달에 1,000만 원 정도 벌 수 있다.”고 이야기 하여, 이에 속은 피해자로부터 같은 달 10.경 E 명의의 F은행 계좌로 5,000만 원을 송금받았다.

그러나 사실 피고인은 피해자로부터 위와 같이 돈을 송금 받을 당시 신용불량자였고, 피고인이 운영하는 G기업은 체납 세액만 약 1억 3,000만 원에 달하는 등 재정적으로 매우 어려워 피해자로부터 돈을 받더라도 약속대로 매물로 나온 공장을 인수한 후 피해자에게 이전할 의사나 능력이 없었다.

이로써 피고인은 피해자로부터 5,000만 원을 편취하였다.

2. 2011. 5. 초순경 범행

피고인은 2011. 5. 초순 일자불상경 제1항과 같은 장소에서 공장을 인수해 줄 것을 요구하는 피해자에게 “네가 3,200만 원을 더 주면 그 돈으로 공장을 하나 더 인수해서 자금 사정을 좋게 한 다음 함께 인수받도록 해주겠다”고 이야기하여 이에 속은 피해자로부터 3,200만 원을 교부받았다.

그러나 사실 피고인은 위 G기업의 재정상태가 어려워 더 이상 운영이 불가능해 지자 피해자 명의로 H산업이라는 법인을 만들어 피고인이 실제 운영할 생각이었고, 피해자로부터 추가로 돈을 받더라도 피해자에게 공장을 인수하도록 해 줄 의사나 능력이 없었다.

이로써 피고인은 피해자로부터 3,200만 원을 편취하였다.

『2014고단3551』

피고인은 2014. 10. 21. 23:20경 울산 남구 신정동에 있는 I병원 앞 도로에서부터 같은 날 23:30경 같은 구 달동에 있는 J예식장 사거리 도로에 이르기까지 약 1km 구간에서 자동차운전면허를 받지 아니하고 혈중알콜농도 0.124%의 술에 취한 상태로 트라제XG 승용차를 운전하였다.","1. 범죄사실에 대한 해당법조

형법 제347조 제1항, 도로교통법 제148조의2 제2항, 제2호, 제44조 제1항, 같은 법 제152조 제1호, 제43조

1. 상상적 경합

형법 제40조

1. 형의 선택

각 징역형 선택

1. 경합범가중

형법 제37조 전단, 제38조 제1항 제2호, 제50조"
403,"피고인은 2009. 8. 27. 울산지방법원에서 도로교통법위반(음주운전)죄 등으로 징역 8월을 선고받고, 2011. 2. 25. 같은 법원에서 도로교통법위반(음주운전)죄 등으로 징역 1년을 선고받아 2011. 10. 26. 포항교도소에서 그 형의 집행을 종료하였다.

피고인은 2013. 9. 19. 22:50경 원동기장치자전거 운전면허 없이 혈중알콜농도 0.113%의 술에 취한 상태에서 울산 중구 우정동에 있는 도로에서부터 같은 구 다운동에 있는 다운사거리 앞 도로까지 약 2㎞구간에서 울산중타0000호 125㏄ 오토바이를 운전하였다.","1. 범죄사실에 대한 해당법조

도로교통법 제148조의2 제1항 제1호, 제44조 제1항(음주운전의 점), 같은 법 제154조 제2호, 제43조(원동기장치자전거 무면허운전의 점)

1. 상상적 경합

형법 제40조, 제50조[형이 더 무거운 도로교통법위반(음주운전)죄에 정한 형으로 처벌] 1. 형의 선택

징역형 선택

1. 누범가중

형법 제35조

1. 작량감경

형법 제53조, 제55조 제1항 제3호

양형이유

〇 2000년 이후에만 무면허운전 12회, 음주운전 6회나 적발되어 처벌받은 전력이 있고 그 중 2회는 2009년 이후 적발된 음주운전 실형 전과임에도 다시 부득이한 사정도 없이 무면허‧음주운전에 이르렀으므로 정상이 매우 중하여 상당한 기간의 징역형을 선택하고, 전과관계에 비추어 실형 선고가 불가피함

〇  다만 오토바이 운전으로서 자동차보다는 위험성이 적은 점 및 부양대상인 가족이 있는 점 등을 형기에 참작함"
404,"피고인은 2013. 10 24. 19:54경 서귀포시 대정읍 하모리 이하불상지에서부터 서귀포시 안덕면 사계해안을 경유하여 서귀포시 대정읍 하모리 운진항 삼거리까지 약 10km 구간에서 자동차운전면허를 받지 아니하고, 혈중알콜농도 0.174%의 술에 취한 상태로 C 쏘나타ⅡI 승용차를 운전하였다.","1. 범죄사실에 대한 해당법조 및 형의 선택

도로교통법 제148조의2 제1항 제1호, 제44조 제1항(음주운전의 점), 도로교통법 제152조 제1호, 제43조(무면허운전의 점)

1. 상상적 경합

형법 제40조, 제50조

1. 형의 선택

징역형 선택

1. 누범가중

형법 제35조

1. 작량감경"
405,"『2013고단9252』

1. 도로교통법위반(음주운전), 도로교통법위반(무면허운전)

피고인은 2013. 8. 19. 22:13경 부산 북구 구포동에 있는 구포초등학교 앞 도로에서부터 같은 동에 있는 구명지하철역  앞 도로에 이르기까지  약 100m 구간에서 자동차운전면허를 받지 아니하고 혈중알콜농도 0.097%의 술에 취한 상태로 C 봉고 화물차를 운전하였다.

2. 사서명위조, 위조사서명행사

피고인은 전항 기재 일시, 장소에서 부산북부경찰서 교통안전계 순경 D으로부터 음주단속을 당하였다. 피고인은 위 D으로부터 주취운전자 적발보고서 및 주취운전자 정황진술서  '운전자'란의  작성을 요구받고, 위  각 서류 '운전자'란에 동생인 E의  이름을 기재하여, 행사할 목적으로 권한 없이 위 E의 서명을 위조하고, 같은 자리에서  위와 같이 위조된 정을 모르는 D에게 위 각 서류를 교부하여 이를 행사하였다.

『2014고단8262』

피고인은 2014. 4. 9. 울산지방법원에서 사문서위조죄 등으로 벌금 500만원을 선고받은  것  외에  도로교통법위반(무면허운전)죄로 3회, 도로교통법위반(음주운전)죄로 1회 더 처벌받은 전력이 있다.

1. 도로교통법위반(음주운전) 및 도로교통법위반(무면허운전)

피고인은 2014. 8. 3. 22:23경 부산 북구 구포동 소재 구포시장 인근 도로에서부터 같은 동 소재 유림아파트 입구 인근 도로에 이르기까지 약 700m 구간에서, 자동차운전면허를 받지 아니하고, 혈중알콜농도 0.110%의 술에 취한 상태에서 C 그레이스 승합차를 운전하였다.

2.  자동차손해배상보장법위반

피고인은 위 일시, 장소에서, 위와 같이 의무보험에 가입되지 아니한 위 그레이스 승합차를 운전하였다.

3. 사서명위조

피고인은 2014. 8. 3. 22:42경 부산 북구 구포동 소재 유림아파트 입구 인근 도로에서, 부산북부경찰서 소속 경사인 F로부터 음주단속을 당하자, 수배 중인 사실을 숨기고 동생인 E로 행세하면서 위 F에게 행사할 목적으로 권한 없이 주취운전자 정황진술보고서 운전자 란에 동생인 'E'의 이름을 기재하고 그 옆에 피고인의 무인을 찍었다.

피고인은 위와 같이 행사할 목적으로 권한 없이 위 E의 서명을 위조하였다.

4. 위조사서명행사

피고인은 공소사실 제3항 기재 일시, 장소에서, 위와 같이 서명을 위조한 위 주취운전자 정황진술보고서 1장을 그 위조 사실을 모르는 위 F에게 마치 진정하게 성립된 것인양 제출하여 이를 행사하였다.","1. 범죄사실에 대한 해당법조

형법  제239조 제1항(사서명위조의 점, 징역형), 형법 제239조 제2항, 제1항(위조사서명행사의 점, 징역형), 도로교통법 제148조의2 제2항 제3호, 제44조 제1항(음주운전의 점, 징역형 선택), 도로교통법 제152조 제1호, 제43조(무면허운전의 점, 징역형    선택), 자동차손해배상보장법  제46조 제2항 제2호, 제8조(의무보험미가입차량 운행의 점, 징역형 선택).

1. 상상적 경합

형법 제40조, 제50조

1. 경합범가중

형법 제37조 전단, 제38조 제1항 제2호, 제50조

1. 집행유예

형법 제62조 제1항"
406,"1. 교통사고처리특례법위반

피고인은 B 덤프트럭 운전업무에 종사하는 사람이다.

피고인은 2015. 6. 7. 06:38경 위 트럭을 운전하여 강원 정선군 임계면 송계리 1046에 있는 편도 1차선의 도로를 임계 쪽에서 동해 쪽으로 시속 약 60km로 진행하던 중, 전방에서 진행하던 피해자 C(여, 58세) 운전의 D 그레이스 승합차를 추월하기 위해 중앙선을 넘어갔으나 혈중알콜농도 0.053%의 술에 취한 상태로 전방을 잘 살피지 못하고 조향 및 제동장치를 정확히 조작하지 못한 과실로, 좌회전을 하려던 위 승합차의 우측면을 피고인의 트럭 전면부로 충격하였다.

결국 피고인은 위와 같은 업무상 과실로 피해자 C, 피해차량 동승자인 피해자 E(여,54세)에게 약 3주간의 치료가 필요한 경추부 염좌 등의 상해를, 동 피해자 F(여, 60세)에게 약 10주간의 치료가 필요한 치아돌기 파절 등의 상해를, 동 피해자 G(여, 71세)에게 약 8주간의 치료가 필요한 다발성 골절 등의 상해를, 동 피해자 H(여, 72세)에게 치료일수 미상의 치아돌기 파절의 상해를, 동 피해자 I(여, 59세)에게 약 2주간의 치료가 필요한 경추부 염좌 등의 상해를 각 입게 하였다.

2. 도로교통법위반(음주운전)

피고인은 2015. 6. 7. 05:30경 동해시 J에 있는 피고인의 집  앞 도로에서부터 제1항 기재 장소에 이르기까지  혈중알콜농도 0.053%의 술에 취한 상태로 위 트럭을 운전하였다.","1. 범죄사실에 대한 해당법조

교통사고처리특례법  제3조 제1항, 제2항 단서  제8호, 형법  제268조(각 금고형  선택), 도로교통법 제148조의2 제2항 제3호, 제44조 제1항(징역형 선택)

1. 상상적 경합

형법 제40조, 제50조

1. 경합범가중

형법 제37조 전단, 제38조 제1항 제2호, 제2항, 제50조

1. 집행유예

형법 제62조 제1항

1. 사회봉사명령

형법 제62조의2"
407,"1. 업무상 과실치상의 점

피고인은 로체 승용차의 운전업무에 종사하는 사람이다.

피고인은 2014. 12. 8. 11:55경 혈중알콜농도 0.120퍼센트의 술에 취한 상태에서 위 승용차를 운전하여 울산 울주군 온산읍 덕신리 소재 덕신2차 시장 앞 도로를 B스토어 방면에서 C아파트 방면으로 직진하던 중 전방주시의무를 소홀히 한 업무상 과실로 차량의 우측에서 걸어가던 피해자 김○○(여, 48세)의 몸통 부위를 차량 우측 휀더 부분으로 들이받아 피해자에게 약 8주간의 치료가 필요한 폐쇄성 늑골 골절 등의 상해를 입게 하였다.

2. 음주운전의 점

피고인은 제1항 기재와 같은 일시경 울산 울주군 온산읍 덕신리 상호불상음식점 앞 도로에서부터 같은 리 덕신2차 시장 앞 도로에 이르기까지 약 1킬로미터 구간에서 혈중알콜농도 0.120퍼센트의 술에 취한 상태로 위 승용차를 운전하였다.","1. 범죄사실에 대한 해당법조 및 형의 선택

교통사고처리특례법 제3조 제1항, 제2항 단서 제8호, 형법 제268조(업무상 과실치상의 점, 금고형 선택), 도로교통법 제148조의2 제2항 제2호, 제44조 제1항(음주운전의 점, 징역형 선택)

1. 경합범가중

형법 제37조 전단, 제38조 제1항 제2호, 제2항, 제50조"
408,"피고인은 경남 00-0000호 코란도 승용차의 소유자인바, 위 차량에 대한 자동차보험계약의 기간이 2008. 7. 23. 만료하였음에도 불구하고, 그 이후 위 차량에 관하여 자동차손해배상보장법이 정한 의무보험에 가입하지 아니하였다.

피고인은 2012. 8. 6. 03:04경 혈중알콜농도 0.155%의 술에 취한 상태에서 의무보험에 가입되어 있지 아니한 위 차량을 운전하여 울산 중구 남외동 소재 ‘와바’ 호프집 앞 도로에서부터 울산 북구 시례동 소재 동천서로의 무인단속카메라 지점까지 약 5km를 진행하였다.","1. 범죄사실에 대한 해당법조

도로교통법 제148조의2 제2항 제2호, 제44조 제1항(음주운전의 점, 징역형 선택), 구 자동차손해배상보장법(2012. 2. 22. 법률 제11369호로 개정되기 전의 것) 제46조 제2항, 제8조(의무보험미가입차량 운행금지위반의 점, 징역형 선택)

1. 경합범가중

형법 제37조 전단, 제38조 제1항 제2호, 제50조

이상의 이유로 주문과 같이 판결한다."
409,"1. 도로교통법위반(음주운전), 도로교통법위반(무면허운전)

피고인은 2014. 5. 19. 07:40경 울산 남구 삼산동에 있는 B 레스토랑 앞 도로에서 같은 동에 있는 농수산물도매시장 입구까지 약 500미터의 구간에서 자동차 운전면허를 받지 아니한 채 혈중알콜농도 0.164%의 술에 취한 상태로 OO라OOOO호 SM5 승용차를 운전하였다.

2. 공문서부정행사

피고인은 2014. 5. 19. 08:10경 위와 같은 행위로 울산남부경찰서 본동파출소에서 운전면허유무 확인을 위하여 경위 김태형으로부터 면허증제시를 요구받자 소지하고 있던 공문서인 울산지방경찰청장 명의로 된 피고인의 동생 C에 대한 2종 보통 운전면허증을 마치 피고인의 운전면허증인 것처럼 제시하였다.

이로써 피고인은 공문서를 부정행사하였다.

3. 사서명위조

피고인은 2014. 5. 19. 08:21경 위 본동파출소에서 피고인의 동생 C의 명의로 작성된 휴대정보단말기(PDA)의 음주운전 단속사실 결과조회 운전자 서명란에 ‘C’이라고 서명하였다.

이로써 피고인은 행사할 목적으로 권한없이 위 C의 서명을 위조하였다.

4. 위조사서명행사

피고인은 제3항과 같은 일시, 장소에서 위와 같이 위조된 C의 서명이 기재된 음주운 전단속사실 결과조회서를 교통경찰전산망으로 전송하게 하여 이를 행사하였다.

증그¶의 요지

1. 피고인의 법정진술

1. 주취운전자정황진술보고서

1. 음주운전단속결과통보(A)

1. 음주운전단속사실 결과조회서(C)

1. 운전면허대장

1. 적발사진

1. 수사보고","1. 범죄사실에 대한 해당법조

형법 제239조 제1항(사서명 위조의 점), 같은 법 제239조 제2항(위조사서명 행사의 점), 같은 법 제230조(공문서 부정행사의 점), 도로교통법 제148조의2 제2항 제2호, 제44조 제1항(음주운전의 점), 도로교통법 제152조 제1호, 제43조(무면허운전의 점)

1. 상상적 경합

형법 제40조, 제50조{도로교통법위반(음주운전)죄와 도로교통법위반(무면허운전)죄상호간, 형이 더 무거운 도로교통법위반(음주운전)죄에 정한 형으로 처벌}

1. 형의 선택

공문서부정행사죄, 도로교통법위반(음주운전)죄에 대하여 각 징역형 선택

1. 경합범가중

형법 제37조 전단, 제38조 제1항 제2호, 제50조{형과 범정이 가장 무거운 사서명위 조행사죄에 정한 형에 경합범 가중을 하되, 하한은 도로교통법위반(음주운전)죄에 정한 형의 그것에 의한다}

1. 집행유예

형법 제62조 제1항(교통사고가 수반되지 않은 단순 음주·무면허 사건인 점, 피고인이 수사과정에서 자신의 신분을 밝히고 자백한 점, 징역형의 실형 처벌전력은 없는 점, 잘못을 깊이 뉘우치고 있는 점 등 참작)

1. 사회봉사명령 및 수강명령

형법 제62조의2 제1항, 보호관찰 등에 관한 법률 제59조"
410,"피고인은 2011. 11. 23. 부산지방법원에서 도로교통법위반(음주운전)죄 등으로 벌금300만원을 선고받았고, 2012. 9. 25. 같은 법원에서 도로교통법위반(무면허운전)죄 등으로 징역 6월, 집행유예 2년을 선고받아 2012. 10. 3. 위 판결이 확정되었으며, 2013. 4. 24. 같은 법원에서 도로교통법위반(음주운전)죄로 벌금 300만 원을 선고받았다.

피고인은 C 베르나 승용차의 운전업무에 종사하는 사람이다.

피고인은  2013.  12.  5.  07:10경  자동차운전면허를  받지  아니하고  혈중알콜농도 0.150%의 술에 취한 상태로 위 자동차를 운전하여 부산 북구 덕천동 원더풀소호빌 앞 편도 2차로 중 1차로에서 시속 약 20km의 속도로 좌회전을 하게 되었다.

그곳은 비보호 좌회전 표지판이 설치되어  있는 교차로이므로 자동차를 운전하는 업무에 종사하는 사람에게는 좌회전하기 전에 일시 정지 또는 서행하면서 교차로의 교통상황을 잘 보고 좌회전을 하여야 할 업무상 주의의무가 있었다.

그럼에도 불구하고 피고인은 이를 게을리 한 채 술에 취하여 그대로 좌회전 한 과실로 직진 신호에 따라 구포동 쪽에서 덕천동 쪽으로 직진 진행 중인 피해자 D(34세)이 운전하는 E 쏘렌토 승용차의 보조석 앞 범퍼 부분을 피고인의 차량 앞 부분으로 들이받았고, 그 충격으로 피고인 운전 차량이  좌측 옆 부분으로 튕겨져 나가 우회전하기 위하여 신호 대기 중인 피해자 F(35세)이 운전하는 G 쏘나타 승용차의 운전석 앞 휀더 부분을 피고인의 차량 앞 범퍼 부분으로 들이 받았다.

결국 피고인은 위와 같은 업무상 과실로 피해자 D 소유의  쏘렌토 차량을 수리비 950,748원이 들도록, 피해자 F 소유의 쏘나타 승용차를 수리비 714,226원이 들도록 각 손괴하고도 곧 정차하여 필요한 조치를 취하지 아니하고 그대로 도주하였다.","1. 범죄사실에 대한 해당법조

도로교통법 제148조, 제54조 제1항(사고 후 미조치의 점), 제148조의2 제1항 제1호,    제44조 제1항(음주운전의 점), 제152조 제1호, 제43조(무면허운전의 점)

1. 상상적 경합

형법 제40조, 제50조

1. 형의 선택

징역형 선택(동종 처벌전력 감안)

1. 경합범가중

형법 제37조 전단, 제38조 제1항 제2호, 제50조

1. 작량감경

형법 제53조, 제55조 제1항 제3호(피해 정도 상대적으로 중하지 않은 점 참작)

양 형 이 유

동종 범행으로 인한 집행유예 기간 중 도로교통법위반(음주운전)죄로 벌금형 처벌을 받은 전력이  있는데도 음주, 무면허 운전을 하다가 사고를 내고 필요한 조치를 하지 않았다."
411,"1. 피고인은 2013. 10. 18. 17:00경 울산 중구에 있는 피해자 서○○(56세)이 운영하는 ○○인력에서 술을 마시고 행패를 부리던 중 피해자로부터 나가줄 것을 요구받자 화가 나 주먹으로 피해자의 얼굴 및 가슴 부위를 수회 때려 피해자에게 약 2주간의 치료가 필요한 상세불명의 얼굴 표재성 손상, 타박상을 가하였다.

2. 피고인은 2013. 11. 15. 09:25경 울산 중구 성남동에 있는 시계탑 사거리 부근 도로에서 자전거를 타고 가던 중, 피해자 이○○(53세)이 다마스 차량을 운전하여 뒤따라오다가 피고인에게 경적을 울렸다는 이유로 화가 나 위 자전거로 피해자의 차량을 가로막은 후 손으로 위 차량의 창문을 쳐 피해자로 하여금 창문을 내리게 하고, 피해자의 멱살을 잡아 흔들고 피해자를 차량 밖으로 끌어내리려고 하여 상습으로 피해자를 폭행하였다.

이로써 피고인은 상습으로 피해자들에게 상해를 가하였다.

『2013고단3978』

1. 피고인은 2013. 9. 20. 01:30경부터 02:10경까지 사이에 양산시 하북면 순지리 통도휴게소에서 주위의 감시가 소홀한 틈을 타 그곳 광장에 설치되어 있던 피해자 김□□이 관리하는 시가 10만원 상당의 파라솔 1개를 분리하여 피고인이 운행하는 체리밴 차량에 싣고 갔다.

2. 피고인은 2013. 11. 18. 07:00경부터 18:00경까지 사이에 울산 남구 문수로에 있는 아이파크아파트 공사장에서, 주변에 아무도 없는 틈을 타 그곳에 세워져 있던 피해자 김○○ 소유인 시가 30만원 상당의 코렉스 자전거를 타고 갔다. 이로써 피고인은 피해자들의 재물을 절취하였다.","1. 범죄사실에 대한 해당법조 및 형의 선택

도로교통법 제148조의 2 제1항 제1호, 제44조 제1항(음주운전의 점, 징역형 선택). 폭력행위등 처벌에 관한 법률 제2조 제1항 제3호, 형법 제257조 제1항(상습상해의 점), 형법 제329조(절도의 점, 징역형 선택)

1. 누범가중

형법 제35조, 제42조 단서

1. 경합범가중

형법 제37조 전단, 제38조 제1항 제2호, 제50조[형이 가장 무거운 폭력행위등처벌에관한법률위반죄(상습상해)죄에 정한 형에 경합범가중]

1. 작량감경

형법 제53조, 제55조 제1항 제3호"
412,이상의 이유로 주문과 같이 판결한다.,"1. 범죄사실에 대한 해당법조

특정범죄 가중처벌 등에 관한 법률 제5조의3 제1항 제2호, 형법 제268조, 도로교통법 제148조의2 제2항 제2호, 제44조 제1항, 제148조, 제54조 제1항, 형법 제136조 제1항, 제257조 제1항

1. 상상적 경합

형법 제40조, 제50조

1. 형의 선택

각 벌금형 선택(피해정도가 비교적 경미한 점, 이 사건 모두 주취상태에서 경황이 없는 와중에 일어난 것으로 보이는 점, 초범인 점, 피고인은 경찰공무원으로서 지금까지 성실히 근무하여 왔던 것으로 보이는 점 등 감안)

1. 경합범가중

형법 제37조 전단, 제38조 제1항 제2호, 제50조[다만 하한은 도로교통법위반(음주운전)죄에 정한 그것에 의한다]

1. 노역장유치

형법 제70조 제1항, 제69조 제2항"
413,"피고인은 OOOO호 OO 승용차를 운전하는 사람이다.

피고인은 2014. 12. 7. 04:30경 혈중알콜농도 0.082퍼센트의 술에 취한 상태에서 위 승용차를 운전하여 대구 북구 OO동 인근 도로의 편도 4차로 중 2차로로 직진하게 되었다. 그 곳 전방에는 신호기가 설치된 횡단보도가 있었으므로 신호를 준수하여 사고를 방지할 업무상 주의의무가 있었음에도 불구하고 차량 적색 신호에 직진한 업무상 과실로 피고인 차량 진행 방향 오른쪽에서 왼쪽으로 보행자 녹색신호에 따라 자전거를 타고 횡단보도를 건너던 피해자 □□□(22세)이 운전하던 자전거를 피고인 차량 우측 앞부분으로 들이받아 피해자로 하여금 같은 날 07:03경 대구 동구 소재 OO병원에서 치료 도중 외상성 뇌손상 등으로 사망에 이르게 함과 동시에 피해자 소유의 자전거를 수리비 약 200,000원 상당이 들도록 손괴하고도 피해자를 구호하는 등의 필요한 조치를 하지 아니하고 도주하였다.","1. 범죄사실에 대한 해당법조

특정범죄 가중처벌 등에 관한 법률 제5조의3 제1항 제1호, 형법 제268조(업무상과실치사 후 도주의 점), 도로교통법 제148조, 제54조 제1항(재물손괴 후 미조치의 점), 도로교통법 제148조의2 제2항 제3호, 제44조 제1항(음주운전의 점)

1. 상상적 경합

형법 제40조, 제50조

1. 형의 선택

특정범죄가중처벌등에관한법률위반(도주차량)죄에 대하여 유기징역형을, 도로교통법위반(음주운전)죄에 대하여 징역형을 각 선택

1. 경합범가중

형법 제37조 전단, 제38조 제1항 제2호, 제50조"
414,"피고인은 C 아반떼 승용차의 운전자이다.

피고인은 2014. 7. 16. 00:05경 혈중알콜농도 0.116%의 술에 취한 상태로 위 승용차를 운전하여  제천시 D에  있는 E식당 앞 도로를 현대아파트 후문 쪽에서 두손메디컬병원 쪽으로 우회전하여 진행하다가 두손메디컬 쪽에서 시립도서관 쪽으로 진행 중이던 F(54세) 운전의 G 쏘나타 승용차 운전석 쪽 앞범퍼 부분과 피고인 운전 차량의 운전석 쪽 앞 범퍼 부분이 충격하였다.

이로 인하여 위 F이 약 3주간의 치료를 요하는 제2경추의 횡돌기 골절 등의 상해를 입고 위 쏘나타 승용차가 수리비 1,445,431원이 들도록 손괴되었음에도 즉시 정차하여 사상자를 구호하는 등 필요한 조치를 취하지 아니하였다.","1. 범죄사실에 대한 해당법조 및 형의 선택

도로교통법 제148조의2 제2항 제2호, 제44조 제1항(음주운전의 점), 도로교통법 제148조, 제54조 제1항(사고 후 미조치의 점), 각 벌금형 산택

1. 경합범가중

형법 제37조 전단, 제38조 제1항 제2호, 제50조

1. 노역장유치

형법 제70조 제1항, 제69조 제2항

1. 가납명령

형사소송법 제334조 제1항

무죄부분

1. 공소사실의 요지

피고인은 C 아반떼 승용차의 운전업무에 종사되어 사람이다.

피고인은 2014. 7. 16. 00:05경 혈중알콜농도 0.116%의 술에 취한 상태로 위 승용차를 운전하여 제천시 D에  있는 E식당 앞 도로를 현대아파트 후문 쪽에서 두손메디컬병원 쪽으로 우회전하여 진행하게 되었다.

그 때 피고인은 야간이라 날이 어두운 상태에서 진행하게 되었고 우회전을 하여 대로로 진입하게 되었으므로 전방좌우 주시를 철저히 하고 조향장치를 잘 조작하면서 진행하여 사고를 미연에 방지해야 할 업무상의 주의의무가 있었다.

그럼에도 불구하고 피고인은 술에 취하여 전방좌우 주시를 철저히 하지 못한 채 회전반경을 지나치게 크게 하여 우회전한 업무상의 과실로 중앙선을 침범하여 진행하다가 두손메디컬 쪽에서 시립도서관 쪽으로 진행 중이던 피해자 F(54세) 운전의 G 쏘나타 승용차 운전석 쪽 앞범퍼 부분을 피고인 운전 차량의 운전석 쪽 앞범퍼 부분으로 들이받았다.

결국 피고인은 위와 같은 업무상의 과실로 피해자에게 약 3주간의 치료가 필요한 제2경추의  횡돌기  골절  등의  상해를  입게  함과  동시에  위  쏘나타 승용차를  수리비 1,445,431원이 들도록 손괴하고도 곧 정차하여  피해자를 구호하는 등 필요한 조치를 취하지 아니하고 그대로 도주하였다.

2. 판  단

위 공소사실 중 피고인이 중앙선을 침범하여 운전하였다는 점에 부합하는 증거로는 F의 진술과 도로교통공단 충북지부의 교통사고종합분석서가 있다. 그런데 피고인 차량의 블랙박스 동영상에 의하면 명백히 중앙선을 침범한 것을 F의 차량이며, 피고인의 차량이 중앙선을 침범하였는지 여부는 불확실하다. 또한, 도로교통공단의 교통사고종합분석서도 사후에 블랙박스 영상, 충돌부위 등을 기초로 추정한 것일 뿐이어서 위 증거들만으로는 피고인이 중앙선을 침범하여 운전하였다는 사실을 인정하기에 부족하다.

나아가 이 법원이 적법하게 조사한 증거들에 의하여 알 수 있는 다음과 같은 사정들, 즉 ① 피고인은 우회전을 하기 전에 매우 천천히 서행을 한 점, ② 비록 피고인이 진행하였던 도로가 F이 진행하였던 도로보다 좁은 도로이긴 하나, 피고인의 차량이 교차로에 먼저 진입하였을 뿐 아니라, 교차로를 거의 다 빠져나갈 무렵에 이 사건 사고가 발생한 점, ③ 오히려 F의 차량이 상당히 빠른 속도로 진행하면서 중앙선을 침범한 점 등에 비추어 피고인에게 이 사건 사고에 대하여 어떠한 과실이 있음을 인정할 증거가 없으며, 또한 비록 피고인이 음주운전을 한 것은 사실이나 위와 같은 경위에 비추어 볼 때 피고인의 음주와 이 사건 사고의 발생과는 인과관계가 있다고 보기도 어렵다고 할 것이다.

그렇다면, 이 부분 공소사실은 범죄의 증명이 없는 경우에 해당하여 형사소송법 제325조 후단에 의하여 무죄를 선고하여야 할 것이나, 이와 상상적 경합 관계에 있는 판시 도로교통법위반(사고후미조치)죄를 유죄로 인정한 이상 주문에서 따로 무죄를 선고하지 아니한다."
